TABLE_NAME,COLUMN_NAME,COLUMN_TYPE,IS_NULLABLE,COLUMN_KEY,COLUMN_DEFAULT
QRTZ_BLOB_TRIGGERS,SCHED_NAME,varchar(120),NO,PRI,
QRTZ_BLOB_TRIGGERS,TRIGGER_NAME,varchar(200),NO,PRI,
QRTZ_BLOB_TRIGGERS,TRIGGER_GROUP,varchar(200),NO,PRI,
QRTZ_BLOB_TRIGGERS,BLOB_DATA,blob,YES,,
QRTZ_CALENDARS,SCHED_NAME,varchar(120),NO,PRI,
QRTZ_CALENDARS,CALENDAR_NAME,varchar(200),NO,PRI,
QRTZ_CALENDARS,CALENDAR,blob,NO,,
QRTZ_CRON_TRIGGERS,SCHED_NAME,varchar(120),NO,PRI,
QRTZ_CRON_TRIGGERS,TRIGGER_NAME,varchar(200),NO,PRI,
QRTZ_CRON_TRIGGERS,TRIGGER_GROUP,varchar(200),NO,PRI,
QRTZ_CRON_TRIGGERS,CRON_EXPRESSION,varchar(200),NO,,
QRTZ_CRON_TRIGGERS,TIME_ZONE_ID,varchar(80),YES,,
QRTZ_FIRED_TRIGGERS,SCHED_NAME,varchar(120),NO,PRI,
QRTZ_FIRED_TRIGGERS,ENTRY_ID,varchar(95),NO,PRI,
QRTZ_FIRED_TRIGGERS,TRIGGER_NAME,varchar(200),NO,,
QRTZ_FIRED_TRIGGERS,TRIGGER_GROUP,varchar(200),NO,,
QRTZ_FIRED_TRIGGERS,INSTANCE_NAME,varchar(200),NO,,
QRTZ_FIRED_TRIGGERS,FIRED_TIME,bigint,NO,,
QRTZ_FIRED_TRIGGERS,SCHED_TIME,bigint,NO,,
QRTZ_FIRED_TRIGGERS,PRIORITY,int,NO,,
QRTZ_FIRED_TRIGGERS,STATE,varchar(16),NO,,
QRTZ_FIRED_TRIGGERS,JOB_NAME,varchar(200),YES,,
QRTZ_FIRED_TRIGGERS,JOB_GROUP,varchar(200),YES,,
QRTZ_FIRED_TRIGGERS,IS_NONCONCURRENT,varchar(1),YES,,
QRTZ_FIRED_TRIGGERS,REQUESTS_RECOVERY,varchar(1),YES,,
QRTZ_JOB_DETAILS,SCHED_NAME,varchar(120),NO,PRI,
QRTZ_JOB_DETAILS,JOB_NAME,varchar(200),NO,PRI,
QRTZ_JOB_DETAILS,JOB_GROUP,varchar(200),NO,PRI,
QRTZ_JOB_DETAILS,DESCRIPTION,varchar(250),YES,,
QRTZ_JOB_DETAILS,JOB_CLASS_NAME,varchar(250),NO,,
QRTZ_JOB_DETAILS,IS_DURABLE,varchar(1),NO,,
QRTZ_JOB_DETAILS,IS_NONCONCURRENT,varchar(1),NO,,
QRTZ_JOB_DETAILS,IS_UPDATE_DATA,varchar(1),NO,,
QRTZ_JOB_DETAILS,REQUESTS_RECOVERY,varchar(1),NO,,
QRTZ_JOB_DETAILS,JOB_DATA,blob,YES,,
QRTZ_LOCKS,SCHED_NAME,varchar(120),NO,PRI,
QRTZ_LOCKS,LOCK_NAME,varchar(40),NO,PRI,
